ASK_Artikelnummer,ASK_Beschreibung,Syskomp_Artikelnummer,Syskomp_Beschreibung
20100100,PROFIL 11X20 NUT 8 ZUSCHNITT,481992476,Aluminiumprofil 11x20
20100101,PROFIL 11X20 NUT 8 LE1X6060,481513581,Aluminiumprofil 11x20
20100200,EINHÄNGEPROFIL 15X30 NUT 8 ZUSCHNITT,481993411,Einhï¿½ngeprofil 15x30
20100201,EINHÄNGEPROFIL 15X30 NUT 8 LE1X6060,481537679,Einhï¿½ngeprofil 15x30
20100400,PROFIL 20X20 NUT 6 R90° ZUSCHNITT,461992888,Aluminiumprofil 20x20
20100403,PROFIL 20X20 NUT 6 R90° LE1X3060,461517179,Aluminiumprofil 20x20
20100500,PROFIL 20X20 NUT 6 ZUSCHNITT,461992888,Aluminiumprofil 20x20
20100501,PROFIL 20X20 NUT 6 LE1X6060,461517179,Aluminiumprofil 20x20
20100503,PROFIL 20X20 NUT 6 LE1X3060,461517179,Aluminiumprofil 20x20
20100520,PROFIL 20X20 2N90 NUT 6 ZUSCHNITT,461992924,Aluminiumprofil 20x20 2NVS
20100530,PROFIL 20X20 3N NUT 6 ZUSCHNITT,461992889,Aluminiumprofil 20x20 3N
20100531,PROFIL 20X20 3N NUT 6 LE1X6060,461517180,Aluminiumprofil 20x20 3N
20100540,PROFIL 20X20 2N180 NUT 6 ZUSCHNITT,461993422,Aluminiumprofil 20x20 2N
20100600,PROFIL 20X40 NUT 6 ZUSCHNITT,461992891,Aluminiumprofil 20x40
20100603,PROFIL 20X40 NUT 6 LE1X3060,461537816,Aluminiumprofil 20x40
20100700,SCHUTZGITTERPROFIL 30X30 WG 30 NUT 8 ZUSCHNITT,481992970,Schutzgitterprofil 30x30 WG30
20100701,SCHUTZGITTERPROFIL 30X30 WG 30 NUT 8 LE1X6060,481522462,Schutzgitterprofil 30x30 WG30
20100710,SCHUTZGITTERPROFIL 30X30 WG 40 NUT 8 ZUSCHNITT,384299297,"Schutzgitterprofil 30x30 WG40, Nut 8"
20100711,SCHUTZGITTERPROFIL 30X30 WG 40 NUT 8 LE1X6060,481522464,Schutzgitterprofil 30x30 WG40
20100800,SCHUTZGITTERPROFIL 30X45 WG 30 NUT 8 ZUSCHNITT,481992971,Schutzgitterprofil 30x45 WG30
20100801,SCHUTZGITTERPROFIL 30X45 WG 30 NUT 8 LE1X6060,481522463,Schutzgitterprofil 30x45 WG30
20100810,SCHUTZGITTERPROFIL 30X45 WG 40 NUT 8 ZUSCHNITT,481992973,"Rahmenprofil 30x45 WG40, plangesï¿½gt"
20100811,SCHUTZGITTERPROFIL 30X45 WG 40 NUT 8 LE1X6060,481522465,Rahmenprofil 30x45
20100900,PROFIL 30X30 R90° NUT 8 ZUSCHNITT,481992896,Aluminiumprofil 30x30 R
20100901,PROFIL 30X30 R90° NUT 8 LE1X6060,481517198,Aluminiumprofil 30x30 R
20101000,PROFIL 30X30 NUT 8 ZUSCHNITT,481990720,Aluminiumprofil 30x30
20101001,PROFIL 30X30 NUT 8 LE1X6060,481509178,Aluminiumprofil 30x30
20101003,PROFIL 30X30 NUT 8 LE1X3060,481990720,Aluminiumprofil 30x30
20101010,PROFIL 30X30 1N NUT 8 ZUSCHNITT,481992397,Aluminiumprofil 30x30 1N
20101011,PROFIL 30X30 1N NUT 8 LE1X6060,481506948,Aluminiumprofil 30x30 1N
20101019,PROFIL 30X30 1N NUT 8 LE1X4000,481992397,Aluminiumprofil 30x30 1N
20101020,PROFI 30X30 2N90 NUT 8 ZUSCHNITT,481992398,Aluminiumprofil 30x30 2NVS
20101021,PROFIL 30X30 2N90 NUT 8 LE1X6060,481506949,Aluminiumprofil 30x30 2NVS
20101030,PROFIL 30X30 3N NUT 8 ZUSCHNITT,481992400,Aluminiumprofil 30x30 3N
