Materialnr.;Unnamed: 1;Artikelbezeichnung;Artikelbezeichnung 2;"Waren
gruppe";" Artkel 
VK 01.01.19 ";" Material/
100mm
01.01.2019 "; Schnitt ; Preiseinheit ;Max. Zuschnitt; Sonder Rabatte 
415901309;842901309;Karabinerhaken;Material:Stahl verzinkt;010122; 2,65 € ;;;1.0;;
406537592;3842537592;Abschlussplatte ohne Stop, inkl. 2x Schraube S6x16;-;010123; 2,69 € ;;;1.0;;
406537593;3842537593;Abschlussplatte mit Stop, inkl. 2 x Schraube S 6x16;-;010123; 2,91 € ;;;1.0;;
462548720;3842517146;Abdeckkappe für Eckwinkel 20, Rundform, Kunststoff PA;-;010122; 1,19 € ;;;1.0;;
842901309;415901309;Karabinerhaken;siehe Artikelnummer B-45, BR auf Anfrage;--; auf Anfrage ;;;;;
1845410015;406410015;Einstecktasche;siehe Artikelnummer B-45, BR auf Anfrage;--; auf Anfrage ;;;;;
208530005;208530005;Systemtüre Variante 2 mit Halteblech;-;010141; 83,95 € ;;;1.0;;
282500002;0.0.621.77;Dichtschnur D6, EPDM, grau;-;010221; 1,04 € ;;;1.0;;
0.0.621.77;282500002;Dichtschnur D6, EPDM, grau;siehe Artikelummer I-40, ITEM auf Anfrage;--; auf Anfrage ;;;;;
201010003;0.0.436.88;Scheibendichtung 2-4/4-6 N8/10 Schwarz Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 1,28 € ;;;1.0;;
201010004;0.0.436.85;Scheibendichtung Nut8 2-4mm Nut10 4 mm Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 2,92 € ;;;1.0;;
201010005;0.0.489.91;Scheibendichtung Nut8 2-4mm Nut10 4 mm Kunststoff TPE;"Abnahmemenge: pro Meter; max. 100m";010221; 2,92 € ;;;1.0;;
201032100;0.0.452.01;Abdeckprofil 32, Nut 8;10 St. x 3000 mm;010212; 104,59 € ;;;1.0;;
201080000;0.0.453.65;Wandprofil 80;10 St. x 3000 mm;010212; 193,50 € ;;;1.0;;
201080999;0.0.196.42;Wandprofil 80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,75 € ; 1,59 € ;1.0;3000,0;
201120000;0.0.453.66;Wandprofil 120;10 St. x 3000 mm;010212; 284,50 € ;;;1.0;;
201120120;0.0.418.33;Abdeckkappe für Kabelkanal 120x120;Anschraublöcher d=5mm;010221; 5,63 € ;;;1.0;;
201120160;0.0.411.35;Abdeckkappe für Kabelkanal 120x160;Anschraublöcher d=5mm;010221; 5,21 € ;;;1.0;;
201120999;0.0.411.19;Wandprofil 120;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,10 € ; 1,59 € ;1.0;3000,0;
201260000;0.0.453.57;Trägerprofil 160 ohne Nut;10 St. x 3000 mm;010212; 397,00 € ;;;1.0;;
201260999;0.0.265.84;Trägerprofil 160 ohne Nut;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,54 € ; 1,59 € ;1.0;3000,0;
201280000;0.0.453.52;Trägerprofil 80 ohne Nut;10 St. x 3000 mm;010212; 237,50 € ;;;1.0;;
201280999;0.0.196.41;Trägerprofil 80 ohne Nut;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,92 € ; 1,59 € ;1.0;3000,0;
201400000;0.0.452.09;Kanaldeckel 40;12 St. x 3000mm;010212; 133,39 € ;;;1.0;;
201400100;0.0.453.90;Verbindungsprofil 40 (Paar), Nut 8;Chrom-Vanadium-Stahl, matt verchromt;010212; 982,80 € ;;;1.0;;
201400999;7.0.001.46;Kanaldeckel 40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,41 € ; 1,59 € ;1.0;3000,0;
201401200;0.0.411.33;Abdeckkappe für Kabelkanal 40x120;Kunststoff PA, schwarz;010221; 1,99 € ;;;1.0;;
201401600;0.0.364.81;Abdeckkappe für Kabelkanal 40x160;Kunststoff PA, schwarz;010221; 3,21 € ;;;1.0;;
201404000;0.0.487.28;Kabelkanal 40x40;12 St. x 3000mm;010212; 235,85 € ;;;1.0;;
201404010;0.0.196.88;Abdeckkappe für Kabelkanal 40x40;Kunststoff PA, schwarz;010221; 1,18 € ;;;1.0;;
201404020;0.0.479.74;Durchführung Wand 40;Kunststoff PA, schwarz;010221; 1,23 € ;;;1.0;;
201404030;0.0.479.76;Durchführung Deckel 40;-;010221; 1,04 € ;;;1.0;;
201404999;0.0.487.27;Kabelkanal 40x40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,73 € ; 1,73 € ;1.0;3000,0;
201408000;0.0.487.43;Kabelkanal 80x40;8 St. x 3000mm;010212; 234,98 € ;;;1.0;;
201408010;0.0.196.89;Abdeckkappe für Kabelkanal 40x80;Kunststoff PA, schwarz;010221; 1,86 € ;;;1.0;;
201408999;0.0.487.42;Kabelkanal 80x40;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,09 € ; 2,12 € ;1.0;3000,0;
201500000;0.0.453.46;Rohr D50 AL;9 St. x 6000 mm;010212; 399,60 € ;;;1.0;;
201600100;0.0.452.02;Abdeckprofil 60, Nut 8;10 St. x 3000 mm;010212; 155,16 € ;;;1.0;;
201800000;7.0.002.77;Kanaldeckel 80;8 St. x 3000mm;010212; 151,61 € ;;;1.0;;
201800999;7.0.002.73;Kanaldeckel 80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 0,70 € ; 1,59 € ;1.0;3000,0;
201801200;0.0.411.34;Abdeckkappe für Kabelkanal 80x120;Kunststoff PA, schwarz;010221; 3,46 € ;;;1.0;;
201801600;0.0.265.97;Abdeckkappe für Kabelkanal 80x160;Kunststoff PA, schwarz;010221; 6,02 € ;;;1.0;;
201801645;0.0.406.67;Abdeckkappe für Kabelkanal 80x160 20°;Material: Kunststoff PA schwarz;010221; 6,45 € ;;;1.0;;
201808000;0.0.487.46;Kabelkanal 80x80;8 St. x 3000mm;010212; 371,01 € ;;;1.0;;
201808010;0.0.196.90;Abdeckkappe für Kabelkanal 80x80;Kunststoff PA, schwarz;010221; 3,64 € ;;;1.0;;
201808020;0.0.479.75;Durchführung Wand 80;Kunststoff PA, schwarz;010221; 1,46 € ;;;1.0;;
201808030;0.0.479.77;Durchführung Deckel 80;-;010221; 1,19 € ;;;1.0;;
201808045;0.0.406.68;Abdeckkappe für Kabelkanal 80x80 45°;Material: Kunststoff PA schwarz;010221; 3,03 € ;;;1.0;;
201808999;0.0.487.45;Kabelkanal 80x80;Längenangabe notwendig, Bearbeitung auf Anfrage;010202;; 1,72 € ; 2,30 € ;1.0;3000,0;
202100500;0.0.459.05;Befestigungssatz 6 für Schloßsystem 6-;-;010221; 3,72 € ;;;1.0;;
202100501;0.0.458.36;Befestigungssatz 8 für Schloßsystem 6-;-;010221; 3,72 € ;;;1.0;;
