Artikelnummer,Beschreibung,Bild
334020,WÜRFELVERBINDER-SATZ 30-3,334020.png
334024,WÜRFELVERBINDER-SATZ 40-2,334024.png
334025,WÜRFELVERBINDER-SATZ 40-3,334025.png
334030,WÜRFELVERBINDER-SATZ 45-2,334030.png
334040,WÜRFELVERBINDER-SATZ 45-3,334040.png
334045,WÜRFELVERBINDER-SATZ 50-2,334045.png
334050,WÜRFELVERBINDER-SATZ 50-3,334050.png
340010,HAMMERMUTTER NUT 6 M4,340010.png
341010,HAMMERMUTTER NUT 8 M4,341010.png
341020,HAMMERMUTTER NUT 8 M5,341020.png
341030,HAMMERMUTTER NUT 8 M6,341030.png
341031,"HAMMERMUTTER NUT 8 M6, EDELSTAHL",341031.png
342010,HAMMERMUTTER NUT 10 M4,342010.png
342020,HAMMERMUTTER NUT 10 M5,342020.png
342030,HAMMERMUTTER NUT 10 M6,342030.png
342031,"HAMMERMUTTER NUT 10 M6, EDELSTAHL",342031.png
342040,HAMMERMUTTER NUT 10 M8,342040.png
342041,"HAMMERMUTTER NUT 10 M8, EDELSTAHL",342041.png
343010,GEWINDEEINSATZ S12-M8,343010.png
343015,GEWINDEEINSATZ S8-M5,343015.png
343020,MONTAGEWERKZEUG FÜR GEWINDEEINSATZ S12/M8,343020.png
344005,"PROFILVERBINDER NUT 8, L=50 2XM6",344005.png
344010,PROFILVERBINDER NUT 8,344010.png
344011,PROFILVERBINDER NUT 10,344011.png
358010,"LASCHE 30X60 T=3, 2X AM 6",358010.png
358015,"WINKEL 30X30X30 T=3, 2X AM 6",358015.png
358025,"LASCHE 40X80 T=5, 2X AM 8",358025.png
358035,"WINKEL 40X40X40 T=5, 2X AM 8, SCHWARZ",358035.png
358135,"WINKEL 40X40X40 T=5, 2X AM 8, WEISSALUMINIUM",358135.png
370010,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X 6, 10.9, VERZINKT",370010.png
370020,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X 8, 10.9, VERZINKT",370020.png
370030,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X10, 10.9, VERZINKT",370030.png
370040,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X12, 10.9, VERZINKT",370040.png
370050,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X16, 10.9, VERZINKT",370050.png
370052,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X20, 10.9, VERZINKT",370052.png
370054,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X25, 10.9, VERZINKT",370054.png
370056,"SCHRAUBE, LINSENKOPF, ISO 7380, M4X30, 10.9, VERZINKT",370056.png
370058,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X 8, 10.9, VERZINKT",370058.png
370060,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X10, 10.9, VERZINKT",370060.png
370070,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X12, 10.9, VERZINKT",370070.png
370080,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X14, 10.9, VERZINKT",370080.png
370090,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X16, 10.9, VERZINKT",370090.png
370095,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X18, 10.9, VERZINKT",370095.png
370100,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X20, 10.9, VERZINKT",370100.png
370110,"SCHRAUBE, LINSENKOPF, ISO 7380, M5X25, 10.9, VERZINKT",370110.png
370120,"SCHRAUBE, LINSENKOPF, ISO 7380, M6X10, 10.9, VERZINKT",370120.png
