neuNr;alteNr;BEZEICHNUNG;Item;2 Bosch;AlvarisArtnr;AlvarisMatnr;ASK
110000041;201404030;"Durchführung Deckel 40;;;";0.0.479.76;;-;-;
110000042;201808030;"Durchführung Deckel 80;;;";0.0.479.77;;-;-;
110000043;203600800;"Kugelkopf 15 M6x10 Material:;Stahl verzinkt;;";;;;;
110000044;203600801;"Kugelkopf 15 M6x10 Material:;Edelstahl;;";;;;;
110000045;203600802;"Kugelkopf 15 M8x10 Material:;Stahl verzinkt;;";;;;;
110000046;203600803;"Kugelkopf 15 M8x10 Material:;Edelstahl;;";;;;;
110000047;283218003;"Laufrolle D=39,0mm Nut 8;Material: Kunststoff PA;glasfaserverst. VE = 10 Stück;";0.0.026.83;;1010447;ROLPA;
110000048;283218004;"Laufrolle D=47mm Nut 8;Material: Kunststoff PA;glasfaserverst.;";;;;;
110000049;402150001;"Halbrundschraube ISO 7380,;M4x6 Material: stahl verzinkt;;";8.0.001.95;;-;-;
110000050;402150002;"Halbrundschraube ISO 7380,;M4x8 Material: stahl verzinkt;;";8.0.001.98;;-;-;
110000051;402150003;"Halbrundschraube ISO 7380,;M4x10 Material: stahl verzinkt;;";8.0.002.01;;-;-;
110000052;402150004;"Halbrundschraube ISO 7380,;M4x12 Material: stahl verzinkt;Innensechskant;";8.0.002.04;;-;-;
110000053;402150005;"Halbrundschraube ISO 7380,;M4x16 Material: stahl verzinkt;;";8.0.000.05;;-;-;
110000054;402150006;"Halbrundschraube ISO 7380,;M5x10 Material: stahl verzinkt;Halbrundkopfschrauben mit;Innensechskant 010.9 nach ISO";8.0.000.06;;-;-;
110000055;402150007;"Halbrundschraube ISO 7380,;M5x12 Material: stahl verzinkt;;";8.0.005.45;;-;-;
110000056;402150008;"Halbrundschraube ISO 7380,;M5x14 Material: stahl verzinkt;;";0.0.417.30;;-;-;
110000057;402150009;"Halbrundschraube ISO 7380,;M5x16 Material: stahl verzinkt;;";8.0.000.07;;-;-;
110000058;402150010;"Halbrundschraube ISO 7380,;M5x20 Material: stahl verzinkt;;";0.0.404.11;;-;-;
110000059;402150011;"Halbrundschraube ISO 7380,;M6x10 Material: stahl verzinkt;;";8.0.002.37;;-;-;
110000060;402150012;"Halbrundschraube ISO 7380-1,;M6x12 Material: stahl verzinkt;;";8.0.002.40;;-;-;
110000061;402150013;"Halbrundschraube ISO 7380,;M6x14 Material: stahl verzinkt;;";0.0.417.26;;-;-;
